cbsa_code,cbsa_title,rides_ne_12,rides_ne_14,rides_ne_chg,rides_12,rides_14,rides_chg,rooms_ne_12,rooms_ne_14,rooms_ne_chg,rooms_12,rooms_14,rooms_chg
0,United States,234.19500,346.64100,0.48014,174.43100,185.53000,0.06363,50.65400,55.56100,0.09687,1767.24800,1830.60400,0.03585
12060,"Atlanta-Sandy Springs-Roswell, GA",4.59400,7.55500,0.64454,1.75200,1.67900,-0.04167,0.72800,0.85500,0.17445,21.87000,23.49600,0.07435
12420,"Austin-Round Rock, TX",1.03700,2.44200,1.35487,0.69300,0.70500,0.01732,0.27200,0.40300,0.48162,10.83200,11.21000,0.03490
12580,"Baltimore-Columbia-Towson, MD",2.30700,3.47100,0.50455,3.13100,2.32400,-0.25775,0.30300,0.33100,0.09241,9.16400,8.64400,-0.05674
14460,"Boston-Cambridge-Newton, MA-NH",6.64600,12.89200,0.93981,5.92600,7.10500,0.19895,0.69200,0.86000,0.24277,23.40800,23.94500,0.02294
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",0.45000,0.61700,0.37111,1.34600,1.19600,-0.11144,0.11200,0.11800,0.05357,4.01100,4.12800,0.02917
16740,"Charlotte-Concord-Gastonia, NC-SC",1.15300,1.86200,0.61492,0.36500,0.39600,0.08493,0.21900,0.25600,0.16895,9.21700,9.35200,0.01465
16980,"Chicago-Naperville-Elgin, IL-IN-WI",17.59200,26.26900,0.49324,6.58300,7.37800,0.12077,0.91200,1.03600,0.13596,37.36200,37.67800,0.00846
17140,"Cincinnati, OH-KY-IN",0.69700,1.09900,0.57676,1.15500,1.08600,-0.05974,0.19600,0.21300,0.08673,5.54600,6.02700,0.08673
17460,"Cleveland-Elyria, OH",0.69500,0.99700,0.43453,1.33000,1.59700,0.20075,0.19200,0.22700,0.18229,6.01700,6.66500,0.10769
18140,"Columbus, OH",1.03500,1.66700,0.61063,0.53500,0.50000,-0.06542,0.20900,0.23100,0.10526,7.43100,7.16800,-0.03539
19100,"Dallas-Fort Worth-Arlington, TX",3.67900,6.34800,0.72547,1.41700,1.70600,0.20395,0.86900,0.93400,0.07480,30.46800,30.14400,-0.01063
19740,"Denver-Aurora-Lakewood, CO",2.48900,4.67500,0.87826,1.29600,1.56400,0.20679,0.33500,0.39000,0.16418,14.84100,15.86200,0.06880
19820,"Detroit-Warren-Dearborn, MI",2.28800,3.02800,0.32343,1.47600,1.52200,0.03117,0.47300,0.44500,-0.05920,16.71800,17.43400,0.04283
25540,"Hartford-West Hartford-East Hartford, CT",0.38400,0.50000,0.30208,1.05300,1.08700,0.03229,0.12000,0.10500,-0.12500,3.77100,3.88000,0.02890
26420,"Houston-The Woodlands-Sugar Land, TX",3.56600,5.49200,0.54010,1.70500,2.18600,0.28211,0.95100,0.95800,0.00736,21.70100,24.10300,0.11069
26900,"Indianapolis-Carmel-Anderson, IN",0.89400,1.43500,0.60515,0.60900,0.58100,-0.04598,0.17300,0.18100,0.04624,8.61300,8.29300,-0.03715
27260,"Jacksonville, FL",0.52300,0.75500,0.44359,0.37100,0.53100,0.43127,0.16200,0.17700,0.09259,9.07100,9.48800,0.04597
28140,"Kansas City, MO-KS",0.96500,1.27800,0.32435,0.97000,1.12600,0.16082,0.18300,0.19300,0.05464,8.90000,8.97900,0.00888
29820,"Las Vegas-Henderson-Paradise, NV",0.83400,1.71200,1.05276,11.22800,11.72700,0.04444,0.24800,0.29200,0.17742,164.47200,170.23000,0.03501
31080,"Los Angeles-Long Beach-Anaheim, CA",9.96000,23.49900,1.35934,7.76900,8.77300,0.12923,2.02000,2.47800,0.22673,63.70700,67.96700,0.06687
31140,"Louisville/Jefferson County, KY-IN",0.51600,0.70700,0.37016,0.43500,0.33800,-0.22299,0.09300,0.09500,0.02151,4.74700,4.97100,0.04719
32820,"Memphis, TN-MS-AR",0.31300,0.44000,0.40575,0.74700,0.73700,-0.01339,0.15300,0.17300,0.13072,13.65600,12.39100,-0.09263
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",6.66100,8.97800,0.34785,3.21400,3.58300,0.11481,1.39600,1.57200,0.12607,49.59800,51.29900,0.03430
33340,"Milwaukee-Waukesha-West Allis, WI",0.63300,0.95200,0.50395,--,--,--,0.13100,0.14700,0.12214,5.70500,5.55600,-0.02612
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3.10500,4.51500,0.45411,1.77700,2.07200,0.16601,0.37200,0.38900,0.04570,13.19900,13.08800,-0.00841
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",1.02400,2.11500,1.06543,0.44900,0.59600,0.32739,0.19100,0.23200,0.21466,11.79200,11.90000,0.00916
35380,"New Orleans-Metairie, LA",2.00000,2.31900,0.15950,0.74900,0.75600,0.00935,0.21700,0.30300,0.39631,13.88500,13.91400,0.00209
35620,"New York-Newark-Jersey City, NY-NJ-PA",73.88100,91.55100,0.23917,22.78400,22.45400,-0.01448,2.63700,3.30100,0.25180,76.65400,80.52200,0.05046
36420,"Oklahoma City, OK",0.34000,0.55200,0.62353,0.16600,0.20000,0.20482,0.11700,0.12900,0.10256,4.85600,4.91200,0.01153
36740,"Orlando-Kissimmee-Sanford, FL",2.99500,3.84000,0.28214,1.52500,1.45900,-0.04328,0.42100,0.48700,0.15677,51.27600,56.44400,0.10079
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.66100,6.09200,0.30702,4.42200,4.40900,-0.00294,0.58400,0.61900,0.05993,17.68700,18.02300,0.01900
38060,"Phoenix-Mesa-Scottsdale, AZ",2.58100,4.53200,0.75591,1.96500,2.37800,0.21018,0.41700,0.48700,0.16787,25.02200,25.18900,0.00667
38300,"Pittsburgh, PA",0.66300,1.22700,0.85068,1.24400,1.18000,-0.05145,0.20700,0.23100,0.11594,8.35100,8.33600,-0.00180
38900,"Portland-Vancouver-Hillsboro, OR-WA",1.24300,1.51800,0.22124,1.01700,1.14600,0.12684,0.38500,0.54400,0.41299,9.04800,9.45900,0.04542
39300,"Providence-Warwick, RI-MA",0.60500,0.91900,0.51901,0.70300,0.76000,0.08108,0.21300,0.23200,0.08920,5.61100,5.59100,-0.00356
39580,"Raleigh, NC",0.80700,1.37600,0.70508,0.22800,0.32000,0.40351,0.12100,0.13100,0.08264,4.00100,4.16700,0.04149
40060,"Richmond, VA",0.55300,0.77000,0.39241,0.73300,0.75000,0.02319,0.14700,0.15500,0.05442,5.16600,5.12600,-0.00774
40140,"Riverside-San Bernardino-Ontario, CA",1.14900,2.12500,0.84943,1.12800,1.13100,0.00266,0.59500,0.68500,0.15126,13.55600,14.70800,0.08498
40380,"Rochester, NY",0.31400,0.32600,0.03822,0.65500,0.81000,0.23664,0.19000,0.18300,-0.03684,3.22500,3.01800,-0.06419
40900,"Sacramento--Roseville--Arden-Arcade, CA",0.78400,1.50200,0.91582,0.42000,0.32800,-0.21905,0.29000,0.35300,0.21724,7.96500,8.31900,0.04444
41180,"St. Louis, MO-IL",1.18400,1.31400,0.10980,0.88000,1.01100,0.14886,0.28700,0.29200,0.01742,9.54900,9.88500,0.03519
41620,"Salt Lake City, UT",0.38600,0.56000,0.45078,0.29200,0.21900,-0.25000,0.11500,0.14700,0.27826,6.85100,7.41100,0.08174
41700,"San Antonio-New Braunfels, TX",1.03200,1.34500,0.30329,0.76300,0.92500,0.21232,0.41700,0.41000,-0.01679,14.35800,14.83700,0.03336
41740,"San Diego-Carlsbad, CA",2.61700,5.47900,1.09362,1.72000,1.70100,-0.01105,0.57600,0.70900,0.23090,28.09800,28.80300,0.02509
41860,"San Francisco-Oakland-Hayward, CA",6.97300,16.85400,1.41704,3.58800,4.36300,0.21600,0.93800,1.34600,0.43497,31.33600,31.26300,-0.00233
41940,"San Jose-Sunnyvale-Santa Clara, CA",1.23000,3.01100,1.44797,0.81400,0.56400,-0.30713,0.24000,0.32800,0.36667,7.71200,8.28600,0.07443
42660,"Seattle-Tacoma-Bellevue, WA",3.19300,5.82500,0.82430,2.44500,2.50000,0.02249,0.63100,0.81100,0.28526,15.42000,15.41600,-0.00026
45300,"Tampa-St. Petersburg-Clearwater, FL",1.44300,1.93400,0.34026,--,--,--,0.44300,0.47600,0.07449,13.66100,15.28100,0.11859
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",0.65300,0.83100,0.27259,0.64500,0.52400,-0.18760,0.17400,0.17100,-0.01724,11.30100,10.50400,-0.07052
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",13.17300,21.42200,0.62621,4.07300,4.83100,0.18610,0.86100,0.94000,0.09175,41.53500,41.46500,-0.00169
